노선번호,노선아이디,정류소아이디,정류소순번,정류소명,정류소번호,x,y
103,204000060,205000230,116,도촌2단지.근로복지공단, 06202,127.1507,37.4142
103,204000060,205000212,117,도촌3단지.스위첸파티오1단지, 06191,127.1534833,37.4144667
103,204000060,205000213,118,도촌초등학교.도촌종합사회복지관, 06184,127.1577667,37.4137667
103,204000060,205000214,119,도촌7단지.8단지, 06190,127.1618,37.4117833
103,204000060,205000226,120,도촌동9단지앞, 06198,127.16305,37.41195
200,204000029,205000218,1,도촌동행정복지센터, 06188,127.15205,37.4166667
200,204000029,205000258,2,동분당더퍼스트정문, 06239,127.1564167,37.4171333
200,204000029,205000219,3,동분당더퍼스트.도촌종합사회복지관, 06196,127.1589667,37.4155333
200,204000029,205000227,4,도촌동9단지앞, 06199,127.1627833,37.4118167
200,204000029,205000220,5,도촌7단지.8단지, 06187,127.1616,37.4120167
200,204000029,205000221,6,도촌초등학교.도촌종합사회복지관, 06186,127.1575667,37.4139333
200,204000029,205000352,7,도촌4단지, 06327,127.1556167,37.4144833
200,204000029,205000222,8,도촌3단지.스위첸파티오1단지, 06195,127.1530667,37.4146
200,204000029,205000231,9,동강프라자앞, 06203,127.1506833,37.41435
200,204000029,205000217,10,도촌1.2단지, 06193,127.1487833,37.4146333
200,204000029,206000491,11,동원SK삼거리, 07458,127.1435833,37.4124667
200,204000029,206000389,12,성남세관후문.성은학교, 07438,127.1433167,37.40895
200,204000029,206000163,13,성남세관.시니어산업혁신센터, 07269,127.1424,37.4084167
200,204000029,206000162,14,건영빌라, 07257,127.14,37.4092833
200,204000029,206000161,15,동신빌라.하탑중학교, 07249,127.13835,37.4096167
200,204000029,206000160,16,탑마을주공8단지, 07326,127.1348333,37.4096667
200,204000029,206000159,17,돌마초교.야탑역.야탑1동행정복지센터, 07206,127.13005,37.4099667
200,204000029,206000158,18,야탑역.종합버스터미널(후면), 07203,127.1289667,37.4117
200,204000029,205000029,19,성남시청전면, 06004,127.12905,37.4193833
200,204000029,277102644,20,성남대로(경유),,127.1289667,37.4242667
200,204000029,205000069,21,모란역4번출구, 06153,127.1295167,37.43105
200,204000029,204000087,22,모란고개, 05037,127.1285333,37.4370333
200,204000029,204000086,23,통계청.태평역, 05038,127.12935,37.4400667
200,204000029,204000085,24,중앙시장.농협, 05048,127.13425,37.4415
200,204000029,204000263,25,성남시여성비전센터.삼성생명.한국사회적기업진흥원, 05236,127.1376667,37.4425333
