노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명
1552,한신대스쿨버스정류장,신분당선강남역(중),234001708,1552,11,직행좌석형시내버스,"서울,오산,화성"
1560A,경희대차고지(경유),신분당선강남역(중),234000884,1560A,11,직행좌석형시내버스,"서울,수원,용인"
1560B,경희대차고지(경유),신분당선강남역(중),228000433,1560B,11,직행좌석형시내버스,"서울,수원,용인"
1570,광교차고지,신분당선강남역(중),234001271,1570,11,직행좌석형시내버스,"서울,수원,용인"
1650,구리수택차고지,안양역,234000050,1650,11,직행좌석형시내버스,"구리,서울,성남,안양,의왕"
17,광주차고지,숭신여자중고교.래미안금광아파트,213000005,17,13,일반형시내버스,"광명,서울"
17,광주차고지,숭신여자중고교.래미안금광아파트,229000013,17,13,일반형시내버스,"고양,서울,파주"
17,광주차고지,숭신여자중고교.래미안금광아파트,231000058,17,13,일반형시내버스,"안성,진천"
17,광주차고지,숭신여자중고교.래미안금광아파트,234000012,17,13,일반형시내버스,"광주,성남"
17,광주차고지,숭신여자중고교.래미안금광아파트,233000044,17,13,일반형시내버스,화성
17,광주차고지,숭신여자중고교.래미안금광아파트,241419006,17,30,마을버스,"성남,용인"
17,광주차고지,숭신여자중고교.래미안금광아파트,241461001,17,30,마을버스,김포
17,광주차고지,숭신여자중고교.래미안금광아파트,241324001,17,30,마을버스,화성
01월 17일,광주차고지,숭신여자중고교.래미안금광아파트,234000849,01월 17일,13,일반형시내버스,"광주,성남"
01월 17일,광주차고지,숭신여자중고교.래미안금광아파트,241419004,01월 17일,30,마을버스,"성남,용인"
01월 17일,광주차고지,숭신여자중고교.래미안금광아파트,241324005,01월 17일,30,마을버스,화성
17-1A,광주차고지,숭신여자중고교.래미안금광아파트,234001578,17-1A,13,일반형시내버스,"광주,성남"
2007,오목천차고지(경유),단대오거리역.(구)종점,200000120,2007,11,직행좌석형시내버스,"성남,수원,의왕"
30,상산곡동.공영차고지,남한산성입구.양지파출소,229000010,30,13,일반형시내버스,"고양,서울,파주"
30,상산곡동.공영차고지,남한산성입구.양지파출소,223000130,30,13,일반형시내버스,오산
30,상산곡동.공영차고지,남한산성입구.양지파출소,236000241,30,13,일반형시내버스,포천
30,상산곡동.공영차고지,남한산성입구.양지파출소,225000009,30,13,일반형시내버스,군포
30,상산곡동.공영차고지,남한산성입구.양지파출소,224000012,30,13,일반형시내버스,"시흥,안산"
30,상산곡동.공영차고지,남한산성입구.양지파출소,233000083,30,13,일반형시내버스,"수원,화성"
30,상산곡동.공영차고지,남한산성입구.양지파출소,234000003,30,13,일반형시내버스,"가평,구리,남양주,서울"
30,상산곡동.공영차고지,남한산성입구.양지파출소,227000003,30,13,일반형시내버스,"서울,성남,하남"
30,상산곡동.공영차고지,남한산성입구.양지파출소,239000157,30,23,일반형농어촌버스,"가평,남양주"
30,상산곡동.공영차고지,남한산성입구.양지파출소,238000052,30,23,일반형농어촌버스,연천
30,상산곡동.공영차고지,남한산성입구.양지파출소,240000146,30,23,일반형농어촌버스,양평
30,상산곡동.공영차고지,남한산성입구.양지파출소,241425012,30,30,마을버스,용인
30,상산곡동.공영차고지,남한산성입구.양지파출소,241470007,30,30,마을버스,김포
3000,미사강변호반써밋,금토천교,227000038,3000,11,직행좌석형시내버스,"성남,하남"
3000,미사강변호반써밋,금토천교,200000104,3000,11,직행좌석형시내버스,"과천,서울,수원,의왕"
3000,미사강변호반써밋,금토천교,241004280,3000,43,일반형시외버스,"서울,철원,포천"
3002,수원남부버스공영차고지,강남역나라빌딩앞,200000145,3002,11,직행좌석형시내버스,"서울,수원,용인"
3002,수원남부버스공영차고지,강남역나라빌딩앞,213000019,3002,11,직행좌석형시내버스,"광명,서울,안양,인천"
3002,수원남부버스공영차고지,강남역나라빌딩앞,241004230,3002,43,일반형시외버스,"서울,의정부,철원,포천"
3007,수원버스터미널,강남역나라빌딩앞,200000110,3007,11,직행좌석형시내버스,"서울,수원"
3008,수원아이파크시티.선일초교,강남역나라빌딩앞,200000274,3008,11,직행좌석형시내버스,"서울,수원"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,207000053,31,13,일반형시내버스,"양주,의정부"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,236000242,31,13,일반형시내버스,포천
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,227000017,31,13,일반형시내버스,"서울,성남,하남"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,225000006,31,13,일반형시내버스,군포
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,224000004,31,13,일반형시내버스,"부천,시흥"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,223000077,31,13,일반형시내버스,"오산,화성"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,229000027,31,13,일반형시내버스,"고양,서울,파주"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,238000043,31,23,일반형농어촌버스,연천
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,241488001,31,30,마을버스,"수원,화성"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,241282012,31,30,마을버스,평택
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,241424005,31,30,마을버스,"성남,용인"
31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,241351002,31,30,마을버스,김포
Feb-31,경기광주역,모란역6.7번출구,234000850,Feb-31,13,일반형시내버스,"광주,성남"
Feb-31,경기광주역,모란역6.7번출구,241488006,Feb-31,30,마을버스,"수원,화성"
Feb-31,경기광주역,모란역6.7번출구,241424016,Feb-31,30,마을버스,용인
03월 31일,광주터미널,모란역6.7번출구,234000057,03월 31일,13,일반형시내버스,"광주,성남"
03월 31일,광주터미널,모란역6.7번출구,224000028,03월 31일,13,일반형시내버스,"부천,시흥"
3103,본오동종점,나라기록관.코이카,216000107,3103,11,직행좌석형시내버스,"성남,안산,의왕"
32,광주차고지,잠실광역환승센터,223000107,32,13,일반형시내버스,오산
32,광주차고지,잠실광역환승센터,217000009,32,13,일반형시내버스,"시흥,안양"
32,광주차고지,잠실광역환승센터,225000012,32,13,일반형시내버스,군포
32,광주차고지,잠실광역환승센터,234000009,32,13,일반형시내버스,"광주,서울,성남"
32,광주차고지,잠실광역환승센터,238000054,32,23,일반형농어촌버스,연천
32,광주차고지,잠실광역환승센터,241282013,32,30,마을버스,평택
32,광주차고지,잠실광역환승센터,241222005,32,30,마을버스,성남
32,광주차고지,잠실광역환승센터,241425007,32,30,마을버스,"수원,용인"
Jan-32,추자가압장앞,중앙시장,234000317,Jan-32,13,일반형시내버스,"광주,성남"
Jan-32,추자가압장앞,중앙시장,238000056,Jan-32,23,일반형농어촌버스,연천
320,추자가압장앞,중앙시장,217000013,320,12,좌석형시내버스,"광명,서울,시흥,안산"
320,추자가압장앞,중앙시장,214000180,320,13,일반형시내버스,"안성,평택"
320,추자가압장앞,중앙시장,234001621,320,13,일반형시내버스,"광주,성남"
3201,광주터미널,서울역버스환승센터(5번승강장)(중),234001694,3201,11,직행좌석형시내버스,"광주,서울"
3201,광주터미널,서울역버스환승센터(5번승강장)(중),224000056,3201,11,직행좌석형시내버스,"서울,시흥"
3202,시흥공영차고지대기(경유),나라기록관.코이카,224000067,3202,11,직행좌석형시내버스,"성남,시흥,의왕"
3302,고산2통마을회관,잠실역.잠실대교남단(중),234001736,3302,11,직행좌석형시내버스,"광주,서울,성남"
3302,고산2통마을회관,잠실역.잠실대교남단(중),224000068,3302,11,직행좌석형시내버스,"성남,시흥,의왕"
3302,시흥능곡역2번출구,나라기록관.코이카,234001736,3302,11,직행좌석형시내버스,"광주,서울,성남"
3302,시흥능곡역2번출구,나라기록관.코이카,224000068,3302,11,직행좌석형시내버스,"성남,시흥,의왕"
3401,이천터미널,신분당선강남역(중),230000184,3401,11,직행좌석형시내버스,"서울,이천"
3401,이천터미널,신분당선강남역(중),224000071,3401,11,직행좌석형시내버스,"광명,서울,시흥"
3402,이마트,나라기록관.코이카,224000069,3402,11,직행좌석형시내버스,"성남,시흥,의왕"
3500,구미동차고지(경유),케피코경기외국어고등학교,224000054,3500,11,직행좌석형시내버스,"서울,시흥"
3500,구미동차고지(경유),케피코경기외국어고등학교,236000176,3500,11,직행좌석형시내버스,"서울,의정부,포천"
3500,구미동차고지(경유),케피코경기외국어고등학교,234000051,3500,11,직행좌석형시내버스,"군포,성남,의왕"
38,상산곡동.공영차고지,복정역환승센터1번승강장,222000176,38,13,일반형시내버스,"구리,남양주"
38,상산곡동.공영차고지,복정역환승센터1번승강장,216000020,38,13,일반형시내버스,"부천,시흥"
