노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,정류소아이디2,통과노선수,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000029,12,성남시청전면,6004,성남,127.12905,37.4193833,205000029,25,시청건너,"50(시내),17-1(시내),76(마을),340(시내),350(시내),17-1A(시내),119(시내),17(시내),3100(시내),315(시내),55(시내),357(시내),200(시내),220(시내),9403(서울),9(시내),9607(시내),33(시내),51(시내),60(시내),240(시내),3000(시내),57(시내),330(시내),4500(시내),8(마을)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000018,14,성남동성당,6008,성남,127.1315833,37.4289333,205000018,3,성당앞,"31-3(시내),57(시내),88(마을),3-3(마을),31-2(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000070,15,중원구청,6012,성남,127.1360667,37.4292167,205000070,3,삼성자동차검사소 / 주원파크빌,"57(시내),88(마을),31-3(시내),3-3(마을),31-2(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000017,16,제일아파트.현대아파트.중원도서관,6161,성남,127.1393167,37.4292333,205000017,11,제일앞,"350(시내),57(시내),3-3(마을),88(마을),87(마을),302(서울),357(시내),9800(시내),31-2(시내),9400(시내),60(시내),55(시내),31-3(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000264,17,하대원시장,6005,성남,127.1427667,37.4279,205000264,11,보람빌딩,"60(시내),31-3(시내),357(시내),9400(시내),302(서울),87(마을),3-3(마을),88(마을),57(시내),31-2(시내),55(시내),350(시내),9800(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000016,18,영성중학교.하대원동행정복지센터,6025,성남,127.14545,37.4282,205000016,11,영성어린이집,"60(시내),57(시내),9400(시내),55(시내),3-3(마을),87(마을),88(마을),302(서울),350(시내),31-3(시내),9800(시내),31-2(시내),357(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000015,19,아튼빌후문.성남테크노과학고,6030,성남,127.1486833,37.429,205000015,11,아튼빌건너,"31-3(시내),57(시내),9400(시내),9800(시내),87(마을),3-3(마을),88(마을),302(서울),350(시내),357(시내),60(시내),55(시내),31-2(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000014,20,아튼빌아파트.중원청소년수련관,6038,성남,127.1522667,37.4299,205000014,12,하대원아튼빌아파트앞,"31-2(시내),60(시내),9800(시내),811(시내),357(시내),9400(시내),3-3(마을),302(서울),57(시내),350(시내),55(시내),31-3(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000013,21,대상델리하임,6046,성남,127.15775,37.4320833,205000013,12,성남냉동,"57(시내),55(시내),60(시내),3-3(마을),9400(시내),302(서울),31-2(시내),811(시내),9800(시내),357(시내),350(시내),31-3(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000012,22,우리은행앞,6057,성남,127.1589667,37.43435,205000012,6,우리은행건너,"57(시내),33-1(시내),7-2(마을),9800(시내),60(시내),3-1(시내),3-5(마을),720-1A(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000127,23,상대원시장,6048,성남,127.1582667,37.4356167,205000127,10,농협건너,"33-1(시내),720-1A(시내),3-5(마을),7-2(마을),303(서울),4425(서울),57(시내),3-1(시내),9800(시내),220(시내),100(시내),60(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000011,24,상대원시장.새마을금고,6053,성남,127.1589833,37.4370167,205000011,7,길치과,"7-2(마을),720-1A(시내),100(시내),33-1(시내),9800(시내),57(시내),3-1(시내),60(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000010,25,현성아름빌아파트,6065,성남,127.1611833,37.4389833,205000010,7,새마을금고건너,"100(시내),9800(시내),3-1(시내),33-1(시내),7-2(마을),720-1A(시내),60(시내),57(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000009,26,대일초교.학년쇼핑,6069,성남,127.1630333,37.4407167,205000009,7,학년쇼핑앞,"3-1(시내),9800(시내),720-1A(시내),57(시내),60(시내),100(시내),7-2(마을),33-1(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000008,27,구서고.금상초교,6076,성남,127.1658,37.4423167,205000008,7,금상초교건너,"720-1A(시내),3-1(시내),60(시내),9800(시내),100(시내),57(시내),7(마을),33-1(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000007,28,성남중원경찰서.e편한세상금빛그랑메종5단지후문,6088,성남,127.16785,37.4425167,205000007,7,놀이터앞,"57(시내),9800(시내),60(시내),3-1(시내),7(마을),720-1A(시내),33-1(시내),100(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000031,29,황송마을아파트,6094,성남,127.16865,37.44495,205000031,4,금광중학교건너,"57(시내),87(마을),340(시내),3-1(시내),7(마을),382(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000006,30,대원중.금광중,6106,성남,127.1707333,37.4460333,205000006,2,금광중학교건너,"7(마을),57(시내),3-1(시내)",해당없음
