노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,,,,,i,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000158,99,현성아름빌아파트,6063,성남,127.1608167,37.4389833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000157,100,상대원시장.새마을금고,6055,성남,127.15915,37.43745,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000242,101,서울정형외과,6226,성남,127.1591,37.4335667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000155,102,성남자이아파트,6043,성남,127.1572167,37.4322833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000154,103,대하초등학교.중원청소년수련관,6040,성남,127.1527167,37.4305,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000153,104,아튼빌후문,6032,성남,127.14985,37.42975,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000152,105,영성중학교.하대원동행정복지센터,6024,성남,127.1453,37.4285833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000151,106,현대아파트.중원도서관,6155,성남,127.1405167,37.42905,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000150,107,중원구청사거리,6014,성남,127.1366167,37.4297667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000149,108,성남동성당,6007,성남,127.1311333,37.4294833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000245,109,성남시청전면,6229,성남,127.1285,37.4181667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000361,110,동부.코오롱아파트,7367,성남,127.1285167,37.4158833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000529,111,야탑역.종합버스터미널(후면),7002,성남,127.1284833,37.4120167,,,,,,,,,,,
