연도,관할지역,버스유형,정류소ID,정류소번호,정류소명,통과노선수,정류소아이디,정류소명2,정류소번호2,x좌표,y좌표,행정동,정류장명,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
2023,성남시,일반,206000328,7103,대원사거리.까치마을,10,206000328,대원사거리.까치마을,7103,127.1160333,37.3517,구미1동,대원사거리.까치마을,구미119안전센터앞,"33-1(시내),720-2(시내),7-1(마을),9404(서울),9403(서울),9408(서울),9401(서울),9407(시내),51(시내),9000(시내),101(시내)",해당없음
2023,성남시,일반,206000324,7093,정자2동행정복지센터,10,206000324,정자2동행정복지센터,7093,127.1149667,37.3653667,정자1동,정자2동행정복지센터,행정복지센터앞,"7007-1(시내),9407(시내),720-1A(시내),220(시내),3500(시내),9404(서울),9000(시내),51(시내),33-1(시내),720-1(시내)",해당없음
2023,성남시,일반,206000325,7094,한진아파트,10,206000325,한진아파트,7094,127.115,37.3629667,정자1동,한진아파트,한진6단지앞,"3500(시내),9407(시내),7007-1(시내),9404(서울),51(시내),9000(시내),720-1(시내),720-1A(시내),220(시내),33-1(시내)",해당없음
2023,성남시,일반,206000329,7102,대우.롯데아파트상가,5,206000329,대우.롯데아파트상가,7102,127.1162333,37.3491667,구미1동,대우.롯데아파트상가,선경A앞,"9401(서울),9408(서울),9407(시내),7(마을)",해당없음
2023,성남시,일반,206000310,7145,탑마을대우아파트,15,206000310,탑마을대우아파트,7145,127.1223667,37.4055833,야탑2동,탑마을대우아파트,탑마을대우A앞,"382(시내),315(시내),73-1(마을),76(마을),341(시내),4500(시내),380(시내),82(마을),73-2(마을),9407(시내),1005(시내),357(시내),350(시내),103(시내),330(시내),340(시내),3000(시내),3100(시내),9300(시내)",해당없음
2023,성남시,일반,206000726,7023,야탑119안전센터,6,206000726,야탑119안전센터,7023,127.1362,37.4163,야탑3동,야탑119안전센터,119안전센터앞,"3330(시내),380(시내),9300(시내),누리1(시내),240(시내),382(시내)",해당없음
2023,성남시,일반,206000856,7817,판교퍼스트힐푸르지오1단지,6,206000856,판교퍼스트힐푸르지오1단지,7817,127.0711833,37.37265,운중동,판교퍼스트힐푸르지오1단지,대장동 판교퍼스트힐푸르지오1단지,"310(시내),73(마을),37(마을),340(시내),32(마을),4103(시내),380(시내),9507(시내)",해당없음
2023,성남시,일반,205000165,6052,단대쇼핑,13,205000165,단대쇼핑,6052,127.1589667,37.4448,금광1동,단대쇼핑,단대쇼핑앞,"720-1A(시내),340(시내),57(시내),3-1(시내),17-1A(시내),60(시내),342(시내),17(시내),17-1(시내),382(시내),100(시내),100출(시내),3-4(마을),7(마을),87(마을)",해당없음
2023,성남시,일반,204000343,5334,I_SQUARE.창업주택,7,204000343,I_SQUARE.창업주택,5334,127.0961667,37.4121833,시흥동,I_SQUARE.창업주택,판교제2테크노벨리 내,"55(시내),누리2(시내),3100(시내),315(시내),73-2(마을),231(시내),310(시내),87(마을),382(시내)",해당없음
2023,성남시,일반,204000340,5331,기업성장센터,8,204000340,기업성장센터,5331,127.09505,37.41125,시흥동,기업성장센터,판교제2테크노벨리 내,"310(시내),누리2(시내),73-2(마을),231(시내),382(시내),87(마을),3100(시내),315(시내),55(시내)",해당없음
2023,성남시,일반,206000274,7337,탑마을대우아파트.선경아파트,1,206000274,탑마을대우아파트.선경아파트,7337,127.1232833,37.4078667,야탑2동,탑마을대우아파트.선경아파트,탑마을선경A앞,"55(시내),76(마을),3-1(마을)",해당없음
2023,성남시,일반,206000704,7424,신백현중학교.단독택지,1,206000704,신백현중학교.단독택지,7424,127.1110333,37.3853167,백현동,신백현중학교.단독택지,신백현중학교 ,"76(마을),720-2(시내),71(마을)",해당없음
2023,성남시,일반,206000326,7116,분당도서관.계원예고.이마트,5,206000326,분당도서관.계원예고.이마트,7116,127.1176167,37.3595167,정자3동,분당도서관.계원예고.이마트,계원예고건너,"9404(서울),111(마을),33-1(시내),51(시내),109(마을),9000(시내),9407(시내)",해당없음
2023,성남시,일반,206000059,0,현대중공업R&D센터,1,206000059,현대중공업R&D센터,7044,127.1060333,37.3765167,정자1동,현대중공업R&D센터,현대중공업R&D센터 앞,"66(마을),누리4(시내),2-1(마을),105(마을),2(마을)",해당없음
2023,성남시,일반,205000216,6197,도촌동행정복지센터,4,205000216,도촌동행정복지센터,6197,127.1533167,37.4172833,도촌동,도촌동행정복지센터,도촌동행정복지센터 건너편,"380(시내),240(시내),200(시내),250(시내)",해당없음
2023,성남시,일반,205000220,6187,도촌7단지.8단지,9,205000220,도촌7단지.8단지,6187,127.1616,37.4120167,도촌동,도촌7단지.8단지,섬마을휴먼시아8단지건너,"200(시내),9300(시내),103(시내),누리1(시내),3330(시내),811(시내),380(시내),250(시내),240(시내)",해당없음
