순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
48,성남시,경기고속,9000-1,단국대학교.죽전야외음악당.성현마을2단지,서울역버스환승센터(5번승강장)(중),73.9,0,20,20,,06:40,07:20,,,00:00,00:00,,,
49,성남시,대원버스,9003,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),60.5,12,2,25,30,05:00,23:10,05:00,23:10,05:40,00:00,05:40,00:00,
50,성남시,대원버스,9004,운중동먹거리촌,강남역티월드,39.9,12,8,20,30,05:00,23:20,05:00,23:20,05:30,00:00,05:30,00:00,
51,성남시,대원버스,9007,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),68.1,14,5,20,30,05:00,22:50,05:00,22:50,06:00,23:50,06:00,23:50,
52,성남시,대원버스,9200,위례중학교.위례센트로엘,서울역버스환승센터(5번승강장)(중),63.1,12,11,30,36,05:00,22:30,05:00,22:30,06:10,23:50,06:10,23:50,
53,성남시,대원버스,9300,도촌동9단지앞,서울역버스환승센터(5번승강장)(중),67.3,16,2,30,30,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,
54,성남시,대원버스,9400,자동차검사소.산성아파트,지하철2호선강남역(중),49,5,40,70,70,05:30,21:30,05:30,21:30,06:20,22:20,06:20,22:20,
55,성남시,대원버스,9407,구미동차고지앞,ST송은빌딩,62,15,10,20,30,04:50,23:00,04:50,23:00,05:50,00:10,05:50,00:10,
56,성남시,성남시내버스,9507,판교대장로동측,청담초등학교앞,58.5,9,19,33,52,04:40,22:30,04:40,22:30,05:55,23:45,05:55,23:45,
57,성남시,성남시내버스,9607,성우스타우스,청담초등학교앞,61.2,8,25,38,60,04:50,22:20,04:50,22:20,06:05,23:30,06:05,23:30,
58,성남시,대원버스,9800,영원무역,지하철2호선강남역(중),49.2,5,30,70,70,05:50,22:00,05:50,22:00,06:40,22:50,06:40,22:50,
59,성남시,대원버스,G8110,오리역,국가인권위.안중근활동터(중),63,16,8,15,20,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,
60,성남시,경기고속,M4102,오리역,숭례문,66.2,17,8,15,40,04:40,23:00,04:40,23:00,05:20,23:40,05:20,23:40,
61,성남시,성남시내버스,누리1,성남시장례문화사업소,쇳골마을.궁내동톨게이트,36.5,9,17,27,33,05:30,22:30,05:30,22:30,06:15,23:20,06:15,23:20,
62,성남시,성남시내버스,누리2,사송동종점,국군수도병원,38.9,10,16,26,32,06:30,22:15,06:30,22:15,05:00,23:25,05:00,23:25,
63,성남시,성남시내버스,누리3,뫼루니육교,럭키타운,42.4,10,17,27,33,05:00,22:00,05:00,22:00,06:00,23:00,06:00,23:00,
64,성남시,성남시내버스,누리4,사송동.종점,동원동,31.9,8,18,30,55,05:00,22:00,05:00,22:00,06:00,23:10,06:00,23:10,
2,용인시,경기고속,1005,외국어대학교,신분당선강남역(중),93.4,35,60,60,05:00,22:30,05:00,22:30,06:10,23:50,06:10,23:50,,
3,화성시,대원고속,1007,수원대학교,잠실광역환승센터,99.6,10,30,30,04:40,22:00,04:40,22:00,06:10,23:35,06:10,23:35,,
4,수원시,대원고속,1007-1,영통차고지대기(경유),잠실역.롯데월드,74.5,40,60,60,05:00,22:10,05:00,22:10,06:20,23:30,06:20,23:30,,
5,화성시,대원고속,1009,수원대학교,잠실광역환승센터,104.8,3,40,40,04:30,21:45,04:30,21:45,06:15,23:35,06:15,23:35,,
8,용인시,대원버스,102,단국대.치과병원,건대입구역1번출구,63.2,8,12,20,05:00,23:10,05:00,23:10,05:45,23:55,05:45,23:55,,
10,용인시,대원고속,1101,단국대.치과병원,신분당선강남역(중),53.3,15,25,35,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,,
11,수원시,대원고속,1112,경희대차고지,테크노마트앞.강변역(C),87,5,20,25,04:40,22:30,04:40,22:30,06:00,23:50,06:00,23:50,,
12,용인시,대원고속,1117,외국어대학교,테크노마트앞.강변역(C),72.8,12,25,25,04:40,22:45,04:40,22:30,06:10,00:00,06:10,23:40,,
13,용인시,경기고속,1150,외국어대학교,서울역버스환승센터(5번승강장)(중),89.6,10,30,30,05:00,22:30,05:00,22:30,06:10,23:40,06:10,23:40,,
14,용인시,대원버스,1151,오산리종점,신분당선강남역(중),57.3,1,10,12,05:20,23:00,05:20,23:00,06:20,00:00,06:20,00:00,,
15,화성시,화성여객,116-3,동탄2차고지,미금역.청솔마을.2001아울렛,51.4,20,40,45,05:00,22:00,05:00,22:00,06:20,23:20,06:20,23:20,,
16,광주시,경기고속,119,오산리종점,군자역.용마초등학교(중),64.6,15,25,35,05:00,22:00,05:00,22:00,06:20,23:20,06:20,23:20,,
17,용인시,대원버스,1241,청덕중고교.지식산업센터,강남역티월드,66.2,11,30,40,05:00,22:30,05:00,22:30,06:10,23:20,06:10,23:20,,
18,용인시,경기고속,1303,외국어대학교,안양역,89.4,20,50,60,05:00,22:00,05:00,22:00,06:30,23:40,06:30,23:40,,
19,오산시,경기고속,1311,한라.이림아파트,강남역도시에빛,104.9,15,40,50,05:10,22:40,05:10,22:40,06:20,23:50,06:20,23:50,,
20,오산시,경기고속,1311B,한라.이림아파트,강남역도시에빛,106,40,150,220,06:00,21:40,06:00,21:40,07:10,23:50,07:10,23:50,,
21,용인시,대원고속,1500-2,에버랜드(승차홈),사당역3번출구,99,4,15,20,04:55,22:10,04:55,22:10,06:30,23:40,06:30,23:40,,
22,용인시,대원고속,1550,광교차고지,지하철2호선강남역(중),68,15,29,40,05:15,23:00,05:15,23:00,06:10,00:00,06:10,00:00,,
23,오산시,대원고속,1550-1,한신대스쿨버스정류장,신논현역.금강빌딩,92.7,9,15,25,05:00,23:50,05:00,22:40,06:15,01:00,06:15,23:55,,
24,화성시,대원고속,1551,수원대학교,양재역.서초문화예술회관(중),99.2,35,60,70,05:10,22:30,05:10,22:30,06:20,23:40,06:20,23:40,,
25,화성시,대원고속,1551B,수원대학교,강남역우리은행,99.1,30,60,70,05:30,22:50,05:30,22:50,06:40,00:00,06:40,00:00,,
26,오산시,대원고속,1552,한신대스쿨버스정류장,신분당선강남역(중),91.5,70,180,160,05:50,21:50,05:50,21:30,07:00,23:00,07:00,22:40,,
